task_id,arm_a,arm_b,arm_a_raw_outcome,arm_b_raw_outcome,arm_a_execution_classes,arm_b_execution_classes,arm_a_activity_summary,arm_b_activity_summary,arm_a_policy_summary,arm_b_policy_summary,arm_a_timeout_summary,arm_b_timeout_summary,arm_a_setup_transport_summary,arm_b_setup_transport_summary,arm_a_verifier_summary,arm_b_verifier_summary,disagreement_category,headline_relevant,supporting_trial_links
terminal-bench-2.0:build-cython-ext,router-anthropic-haiku-sanitized,router-anthropic-opus,0/3 success,3/3 success,"{""substantive"": 3}","{""substantive"": 3}","{""substantive_agent_activity"":3}","{""substantive_agent_activity"":3}","{""none_detected"":3}","{""none_detected"":3}",0/3,0/3,0/3,0/3,"{""test_assertion_failure"":3}","{""none"":3}",capability_difference,True,"[""/trials/03f08cd2-1163-489b-9658-13b716cf5a84"",""/trials/047f8904-4687-4d4a-adca-d28a81c10542"",""/trials/16586f1a-88c3-401e-a47d-7083c3706819"",""/trials/240ad9e4-2a12-40d4-9516-10fe17d3e7f7"",""/trials/27c69146-0a5a-4359-97f8-4ba6c9dce849"",""/trials/41a7b077-41b8-4a77-9317-c0aeaa6b3f83""]"
terminal-bench-2.0:build-cython-ext,router-anthropic-haiku-sanitized,router-anthropic-sonnet,0/3 success,2/3 success,"{""substantive"": 3}","{""substantive"": 2, ""unknown"": 1}","{""substantive_agent_activity"":3}","{""activity_unknown"":1,""substantive_agent_activity"":2}","{""none_detected"":3}","{""none_detected"":3}",0/3,1/3,0/3,0/3,"{""test_assertion_failure"":3}","{""none"":2,""timeout"":1}",timeout_reliability_difference,False,"[""/trials/047f8904-4687-4d4a-adca-d28a81c10542"",""/trials/21405f59-fd8b-4aa9-b342-1d6e3855164e"",""/trials/27c69146-0a5a-4359-97f8-4ba6c9dce849"",""/trials/41a7b077-41b8-4a77-9317-c0aeaa6b3f83"",""/trials/59cca28a-0e79-4751-9ca4-70b50464bd95"",""/trials/fc329c7f-6f3e-4050-b49b-0145a281aedc""]"
terminal-bench-2.0:build-cython-ext,router-anthropic-haiku-sanitized,router-deepseek-flash,0/3 success,3/3 success,"{""substantive"": 3}","{""substantive"": 3}","{""substantive_agent_activity"":3}","{""substantive_agent_activity"":3}","{""none_detected"":3}","{""none_detected"":3}",0/3,0/3,0/3,0/3,"{""test_assertion_failure"":3}","{""none"":3}",capability_difference,True,"[""/trials/047f8904-4687-4d4a-adca-d28a81c10542"",""/trials/0fc8ebfd-99d6-4878-91ec-69b0a7b859dd"",""/trials/27c69146-0a5a-4359-97f8-4ba6c9dce849"",""/trials/41a7b077-41b8-4a77-9317-c0aeaa6b3f83"",""/trials/4292b881-5398-465d-ab88-6f55e8127bf1"",""/trials/7e2ea77c-b6e1-4bd5-87dd-dbe4c408bed4""]"
terminal-bench-2.0:build-cython-ext,router-anthropic-haiku-sanitized,router-deepseek-pro,0/3 success,1/3 success,"{""substantive"": 3}","{""substantive"": 3}","{""substantive_agent_activity"":3}","{""substantive_agent_activity"":3}","{""none_detected"":3}","{""none_detected"":3}",0/3,0/3,0/3,0/3,"{""test_assertion_failure"":3}","{""none"":1,""test_assertion_failure"":2}",capability_difference,False,"[""/trials/047f8904-4687-4d4a-adca-d28a81c10542"",""/trials/27c69146-0a5a-4359-97f8-4ba6c9dce849"",""/trials/41a7b077-41b8-4a77-9317-c0aeaa6b3f83"",""/trials/8b7b489a-7cff-4be7-87ec-929036722767"",""/trials/b84570c6-9e54-4152-ac13-7977ab5ae69f"",""/trials/f0bd9ac3-5985-41b1-9666-d40bdead1604""]"
terminal-bench-2.0:build-cython-ext,router-anthropic-haiku-sanitized,router-gemini-3.1-pro,0/3 success,1/3 success,"{""substantive"": 3}","{""substantive"": 3}","{""substantive_agent_activity"":3}","{""substantive_agent_activity"":1,""timeout_after_meaningful_activity"":2}","{""none_detected"":3}","{""none_detected"":3}",0/3,2/3,0/3,0/3,"{""test_assertion_failure"":3}","{""none"":1,""timeout"":2}",timeout_reliability_difference,False,"[""/trials/047f8904-4687-4d4a-adca-d28a81c10542"",""/trials/27c69146-0a5a-4359-97f8-4ba6c9dce849"",""/trials/41a7b077-41b8-4a77-9317-c0aeaa6b3f83"",""/trials/69e80075-29f6-4f36-be07-223a9003c593"",""/trials/880500f3-b94b-4835-98e7-3a687fcfdd74"",""/trials/e4c13eec-d2a6-4c52-841c-d08447fd76d6""]"
terminal-bench-2.0:build-cython-ext,router-anthropic-haiku-sanitized,router-glm-5.1,0/3 success,1/3 success,"{""substantive"": 3}","{""substantive"": 2, ""unknown"": 1}","{""substantive_agent_activity"":3}","{""activity_unknown"":1,""substantive_agent_activity"":2}","{""none_detected"":3}","{""none_detected"":3}",0/3,1/3,0/3,0/3,"{""test_assertion_failure"":3}","{""none"":1,""test_assertion_failure"":1,""timeout"":1}",timeout_reliability_difference,False,"[""/trials/047f8904-4687-4d4a-adca-d28a81c10542"",""/trials/1bd0b13a-17ff-4181-a0cb-d0e0cc10a87d"",""/trials/27c69146-0a5a-4359-97f8-4ba6c9dce849"",""/trials/41a7b077-41b8-4a77-9317-c0aeaa6b3f83"",""/trials/e3e7fefd-441f-48e7-b707-e888c38a48a7"",""/trials/f8412699-dda0-4b33-bdf7-3d46bd9eb350""]"
terminal-bench-2.0:build-cython-ext,router-anthropic-haiku-sanitized,router-glm-5.2,0/3 success,3/3 success,"{""substantive"": 3}","{""substantive"": 3}","{""substantive_agent_activity"":3}","{""substantive_agent_activity"":3}","{""none_detected"":3}","{""none_detected"":3}",0/3,0/3,0/3,0/3,"{""test_assertion_failure"":3}","{""none"":3}",capability_difference,True,"[""/trials/047f8904-4687-4d4a-adca-d28a81c10542"",""/trials/1ada463c-e566-48c1-8993-232e047b8a00"",""/trials/27c69146-0a5a-4359-97f8-4ba6c9dce849"",""/trials/41a7b077-41b8-4a77-9317-c0aeaa6b3f83"",""/trials/73d5979e-8338-4f49-9ed0-9abf03909b1b"",""/trials/87b36947-de2c-4816-8be3-b3456ab61424""]"
terminal-bench-2.0:build-cython-ext,router-anthropic-haiku-sanitized,router-gpt-5.4,0/3 success,3/3 success,"{""substantive"": 3}","{""substantive"": 3}","{""substantive_agent_activity"":3}","{""substantive_agent_activity"":3}","{""none_detected"":3}","{""none_detected"":3}",0/3,0/3,0/3,0/3,"{""test_assertion_failure"":3}","{""none"":3}",capability_difference,True,"[""/trials/047f8904-4687-4d4a-adca-d28a81c10542"",""/trials/27c69146-0a5a-4359-97f8-4ba6c9dce849"",""/trials/41a7b077-41b8-4a77-9317-c0aeaa6b3f83"",""/trials/4bdba4e1-aa14-4021-b334-61d122dc2c25"",""/trials/9f40406c-95ea-4a2e-95c1-ebfecfc15aa6"",""/trials/f59a4cb3-aee5-41e0-afad-4be4169db641""]"
terminal-bench-2.0:build-cython-ext,router-anthropic-haiku-sanitized,router-gpt-5.5,0/3 success,2/3 success,"{""substantive"": 3}","{""substantive"": 3}","{""substantive_agent_activity"":3}","{""substantive_agent_activity"":3}","{""none_detected"":3}","{""none_detected"":3}",0/3,0/3,0/3,0/3,"{""test_assertion_failure"":3}","{""none"":2,""test_assertion_failure"":1}",capability_difference,False,"[""/trials/047f8904-4687-4d4a-adca-d28a81c10542"",""/trials/1712c7ec-474a-410d-92a5-5301385aa970"",""/trials/27c69146-0a5a-4359-97f8-4ba6c9dce849"",""/trials/34e97d68-3357-43f2-b0ec-8b627b3ad5d7"",""/trials/41a7b077-41b8-4a77-9317-c0aeaa6b3f83"",""/trials/7e28373f-81e0-4b7d-b667-002e0afb9bae""]"
terminal-bench-2.0:build-cython-ext,router-anthropic-haiku-sanitized,router-grok-build-0.1,0/3 success,2/3 success,"{""substantive"": 3}","{""substantive"": 3}","{""substantive_agent_activity"":3}","{""substantive_agent_activity"":3}","{""none_detected"":3}","{""none_detected"":3}",0/3,0/3,0/3,0/3,"{""test_assertion_failure"":3}","{""none"":2,""test_assertion_failure"":1}",capability_difference,False,"[""/trials/047f8904-4687-4d4a-adca-d28a81c10542"",""/trials/27c69146-0a5a-4359-97f8-4ba6c9dce849"",""/trials/41a7b077-41b8-4a77-9317-c0aeaa6b3f83"",""/trials/46c571a0-1d6d-4514-ac31-e98589413d17"",""/trials/59ba9aa3-f2e2-4e51-9661-2f4767446904"",""/trials/a7cc4cc7-4524-4ca1-b422-9eb904bac079""]"
terminal-bench-2.0:build-cython-ext,router-anthropic-haiku-sanitized,router-kimi-k2.6,0/3 success,1/3 success,"{""substantive"": 3}","{""substantive"": 3}","{""substantive_agent_activity"":3}","{""substantive_agent_activity"":3}","{""none_detected"":3}","{""none_detected"":3}",0/3,0/3,0/3,0/3,"{""test_assertion_failure"":3}","{""none"":1,""test_assertion_failure"":2}",capability_difference,False,"[""/trials/047f8904-4687-4d4a-adca-d28a81c10542"",""/trials/27c69146-0a5a-4359-97f8-4ba6c9dce849"",""/trials/41a7b077-41b8-4a77-9317-c0aeaa6b3f83"",""/trials/cc96ee90-9d94-4c92-b0b7-6757c62a01db"",""/trials/dd8765dd-86df-41a9-b4ee-d146a6075f61"",""/trials/f29eb579-f070-4bfc-943e-3d86e12900fa""]"
terminal-bench-2.0:build-cython-ext,router-anthropic-haiku-sanitized,router-kimi-k3,0/3 success,3/3 success,"{""substantive"": 3}","{""substantive"": 3}","{""substantive_agent_activity"":3}","{""substantive_agent_activity"":3}","{""none_detected"":3}","{""none_detected"":3}",0/3,0/3,0/3,0/3,"{""test_assertion_failure"":3}","{""none"":3}",capability_difference,True,"[""/trials/047f8904-4687-4d4a-adca-d28a81c10542"",""/trials/25adedd6-8bcb-4134-b1cb-3c5045ff6a6e"",""/trials/27c69146-0a5a-4359-97f8-4ba6c9dce849"",""/trials/41a7b077-41b8-4a77-9317-c0aeaa6b3f83"",""/trials/c4cd8438-a63c-47ae-92c3-f5486e480e67"",""/trials/cc869036-cdfd-4f61-8770-fe51ef862702""]"
terminal-bench-2.0:build-cython-ext,router-anthropic-haiku-sanitized,router-qwen-3.7-plus,0/3 success,2/3 success,"{""substantive"": 3}","{""substantive"": 3}","{""substantive_agent_activity"":3}","{""substantive_agent_activity"":2,""timeout_after_meaningful_activity"":1}","{""none_detected"":3}","{""none_detected"":3}",0/3,1/3,0/3,0/3,"{""test_assertion_failure"":3}","{""none"":2,""test_assertion_failure"":1}",timeout_reliability_difference,False,"[""/trials/047f8904-4687-4d4a-adca-d28a81c10542"",""/trials/1e2cdad5-9ace-4527-ad7c-72075ead1c13"",""/trials/27c69146-0a5a-4359-97f8-4ba6c9dce849"",""/trials/41a7b077-41b8-4a77-9317-c0aeaa6b3f83"",""/trials/7ed850be-66f0-430f-9f3a-03a1c1624c2f"",""/trials/dde27f2c-60d2-47ea-b008-ebcb80911e9d""]"
terminal-bench-2.0:build-cython-ext,router-anthropic-opus,router-anthropic-sonnet,3/3 success,2/3 success,"{""substantive"": 3}","{""substantive"": 2, ""unknown"": 1}","{""substantive_agent_activity"":3}","{""activity_unknown"":1,""substantive_agent_activity"":2}","{""none_detected"":3}","{""none_detected"":3}",0/3,1/3,0/3,0/3,"{""none"":3}","{""none"":2,""timeout"":1}",timeout_reliability_difference,False,"[""/trials/03f08cd2-1163-489b-9658-13b716cf5a84"",""/trials/16586f1a-88c3-401e-a47d-7083c3706819"",""/trials/21405f59-fd8b-4aa9-b342-1d6e3855164e"",""/trials/240ad9e4-2a12-40d4-9516-10fe17d3e7f7"",""/trials/59cca28a-0e79-4751-9ca4-70b50464bd95"",""/trials/fc329c7f-6f3e-4050-b49b-0145a281aedc""]"
terminal-bench-2.0:build-cython-ext,router-anthropic-opus,router-deepseek-pro,3/3 success,1/3 success,"{""substantive"": 3}","{""substantive"": 3}","{""substantive_agent_activity"":3}","{""substantive_agent_activity"":3}","{""none_detected"":3}","{""none_detected"":3}",0/3,0/3,0/3,0/3,"{""none"":3}","{""none"":1,""test_assertion_failure"":2}",capability_difference,False,"[""/trials/03f08cd2-1163-489b-9658-13b716cf5a84"",""/trials/16586f1a-88c3-401e-a47d-7083c3706819"",""/trials/240ad9e4-2a12-40d4-9516-10fe17d3e7f7"",""/trials/8b7b489a-7cff-4be7-87ec-929036722767"",""/trials/b84570c6-9e54-4152-ac13-7977ab5ae69f"",""/trials/f0bd9ac3-5985-41b1-9666-d40bdead1604""]"
terminal-bench-2.0:build-cython-ext,router-anthropic-opus,router-gemini-3.1-pro,3/3 success,1/3 success,"{""substantive"": 3}","{""substantive"": 3}","{""substantive_agent_activity"":3}","{""substantive_agent_activity"":1,""timeout_after_meaningful_activity"":2}","{""none_detected"":3}","{""none_detected"":3}",0/3,2/3,0/3,0/3,"{""none"":3}","{""none"":1,""timeout"":2}",timeout_reliability_difference,False,"[""/trials/03f08cd2-1163-489b-9658-13b716cf5a84"",""/trials/16586f1a-88c3-401e-a47d-7083c3706819"",""/trials/240ad9e4-2a12-40d4-9516-10fe17d3e7f7"",""/trials/69e80075-29f6-4f36-be07-223a9003c593"",""/trials/880500f3-b94b-4835-98e7-3a687fcfdd74"",""/trials/e4c13eec-d2a6-4c52-841c-d08447fd76d6""]"
terminal-bench-2.0:build-cython-ext,router-anthropic-opus,router-gemini-flash,3/3 success,0/3 success,"{""substantive"": 3}","{""substantive"": 2, ""unknown"": 1}","{""substantive_agent_activity"":3}","{""activity_unknown"":1,""timeout_after_meaningful_activity"":2}","{""none_detected"":3}","{""none_detected"":3}",0/3,3/3,0/3,0/3,"{""none"":3}","{""timeout"":3}",timeout_reliability_difference,True,"[""/trials/03f08cd2-1163-489b-9658-13b716cf5a84"",""/trials/053ad1c3-b6ca-45ca-b6d4-d8c36e577145"",""/trials/16586f1a-88c3-401e-a47d-7083c3706819"",""/trials/240ad9e4-2a12-40d4-9516-10fe17d3e7f7"",""/trials/7d052800-625f-4a30-b88d-5f5f02ae496f"",""/trials/d1d55f6f-b3e7-4fc3-9754-6ad2b4cc8d2a""]"
terminal-bench-2.0:build-cython-ext,router-anthropic-opus,router-glm-5.1,3/3 success,1/3 success,"{""substantive"": 3}","{""substantive"": 2, ""unknown"": 1}","{""substantive_agent_activity"":3}","{""activity_unknown"":1,""substantive_agent_activity"":2}","{""none_detected"":3}","{""none_detected"":3}",0/3,1/3,0/3,0/3,"{""none"":3}","{""none"":1,""test_assertion_failure"":1,""timeout"":1}",timeout_reliability_difference,False,"[""/trials/03f08cd2-1163-489b-9658-13b716cf5a84"",""/trials/16586f1a-88c3-401e-a47d-7083c3706819"",""/trials/1bd0b13a-17ff-4181-a0cb-d0e0cc10a87d"",""/trials/240ad9e4-2a12-40d4-9516-10fe17d3e7f7"",""/trials/e3e7fefd-441f-48e7-b707-e888c38a48a7"",""/trials/f8412699-dda0-4b33-bdf7-3d46bd9eb350""]"
terminal-bench-2.0:build-cython-ext,router-anthropic-opus,router-gpt-5.5,3/3 success,2/3 success,"{""substantive"": 3}","{""substantive"": 3}","{""substantive_agent_activity"":3}","{""substantive_agent_activity"":3}","{""none_detected"":3}","{""none_detected"":3}",0/3,0/3,0/3,0/3,"{""none"":3}","{""none"":2,""test_assertion_failure"":1}",capability_difference,False,"[""/trials/03f08cd2-1163-489b-9658-13b716cf5a84"",""/trials/16586f1a-88c3-401e-a47d-7083c3706819"",""/trials/1712c7ec-474a-410d-92a5-5301385aa970"",""/trials/240ad9e4-2a12-40d4-9516-10fe17d3e7f7"",""/trials/34e97d68-3357-43f2-b0ec-8b627b3ad5d7"",""/trials/7e28373f-81e0-4b7d-b667-002e0afb9bae""]"
terminal-bench-2.0:build-cython-ext,router-anthropic-opus,router-grok-build-0.1,3/3 success,2/3 success,"{""substantive"": 3}","{""substantive"": 3}","{""substantive_agent_activity"":3}","{""substantive_agent_activity"":3}","{""none_detected"":3}","{""none_detected"":3}",0/3,0/3,0/3,0/3,"{""none"":3}","{""none"":2,""test_assertion_failure"":1}",capability_difference,False,"[""/trials/03f08cd2-1163-489b-9658-13b716cf5a84"",""/trials/16586f1a-88c3-401e-a47d-7083c3706819"",""/trials/240ad9e4-2a12-40d4-9516-10fe17d3e7f7"",""/trials/46c571a0-1d6d-4514-ac31-e98589413d17"",""/trials/59ba9aa3-f2e2-4e51-9661-2f4767446904"",""/trials/a7cc4cc7-4524-4ca1-b422-9eb904bac079""]"
terminal-bench-2.0:build-cython-ext,router-anthropic-opus,router-kimi-k2.6,3/3 success,1/3 success,"{""substantive"": 3}","{""substantive"": 3}","{""substantive_agent_activity"":3}","{""substantive_agent_activity"":3}","{""none_detected"":3}","{""none_detected"":3}",0/3,0/3,0/3,0/3,"{""none"":3}","{""none"":1,""test_assertion_failure"":2}",capability_difference,False,"[""/trials/03f08cd2-1163-489b-9658-13b716cf5a84"",""/trials/16586f1a-88c3-401e-a47d-7083c3706819"",""/trials/240ad9e4-2a12-40d4-9516-10fe17d3e7f7"",""/trials/cc96ee90-9d94-4c92-b0b7-6757c62a01db"",""/trials/dd8765dd-86df-41a9-b4ee-d146a6075f61"",""/trials/f29eb579-f070-4bfc-943e-3d86e12900fa""]"
terminal-bench-2.0:build-cython-ext,router-anthropic-opus,router-qwen-3.7-plus,3/3 success,2/3 success,"{""substantive"": 3}","{""substantive"": 3}","{""substantive_agent_activity"":3}","{""substantive_agent_activity"":2,""timeout_after_meaningful_activity"":1}","{""none_detected"":3}","{""none_detected"":3}",0/3,1/3,0/3,0/3,"{""none"":3}","{""none"":2,""test_assertion_failure"":1}",timeout_reliability_difference,False,"[""/trials/03f08cd2-1163-489b-9658-13b716cf5a84"",""/trials/16586f1a-88c3-401e-a47d-7083c3706819"",""/trials/1e2cdad5-9ace-4527-ad7c-72075ead1c13"",""/trials/240ad9e4-2a12-40d4-9516-10fe17d3e7f7"",""/trials/7ed850be-66f0-430f-9f3a-03a1c1624c2f"",""/trials/dde27f2c-60d2-47ea-b008-ebcb80911e9d""]"
terminal-bench-2.0:build-cython-ext,router-anthropic-sonnet,router-deepseek-flash,2/3 success,3/3 success,"{""substantive"": 2, ""unknown"": 1}","{""substantive"": 3}","{""activity_unknown"":1,""substantive_agent_activity"":2}","{""substantive_agent_activity"":3}","{""none_detected"":3}","{""none_detected"":3}",1/3,0/3,0/3,0/3,"{""none"":2,""timeout"":1}","{""none"":3}",timeout_reliability_difference,False,"[""/trials/0fc8ebfd-99d6-4878-91ec-69b0a7b859dd"",""/trials/21405f59-fd8b-4aa9-b342-1d6e3855164e"",""/trials/4292b881-5398-465d-ab88-6f55e8127bf1"",""/trials/59cca28a-0e79-4751-9ca4-70b50464bd95"",""/trials/7e2ea77c-b6e1-4bd5-87dd-dbe4c408bed4"",""/trials/fc329c7f-6f3e-4050-b49b-0145a281aedc""]"
terminal-bench-2.0:build-cython-ext,router-anthropic-sonnet,router-deepseek-pro,2/3 success,1/3 success,"{""substantive"": 2, ""unknown"": 1}","{""substantive"": 3}","{""activity_unknown"":1,""substantive_agent_activity"":2}","{""substantive_agent_activity"":3}","{""none_detected"":3}","{""none_detected"":3}",1/3,0/3,0/3,0/3,"{""none"":2,""timeout"":1}","{""none"":1,""test_assertion_failure"":2}",timeout_reliability_difference,False,"[""/trials/21405f59-fd8b-4aa9-b342-1d6e3855164e"",""/trials/59cca28a-0e79-4751-9ca4-70b50464bd95"",""/trials/8b7b489a-7cff-4be7-87ec-929036722767"",""/trials/b84570c6-9e54-4152-ac13-7977ab5ae69f"",""/trials/f0bd9ac3-5985-41b1-9666-d40bdead1604"",""/trials/fc329c7f-6f3e-4050-b49b-0145a281aedc""]"
