packet_strata,trial_id,trial_link,run_label,arm_id,task_id,raw_outcome,execution_validity,activity_subtype,policy_disposition,failure_subtype,termination_subtype,telemetry_status,canonical_completeness,r2_read_availability,analyzed_artifact_integrity_status,classification_confidence,evidence_reasons,supporting_artifact_ids,analyzer_version
all_reclassified_verifier_environment_v1_1_1,34e97d68-3357-43f2-b0ec-8b627b3ad5d7,/trials/34e97d68-3357-43f2-b0ec-8b627b3ad5d7,router-gpt-5.5/2026-06-27__01-30-18,router-gpt-5.5,terminal-bench-2.0:build-cython-ext,failure,substantive,substantive_agent_activity,none_detected,test_assertion_failure,none,consistent,8/8,available,verified,high,"[""Database reward (raw source of truth): 0"",""Harbor result reward: 0"",""Database/result reward consistency: consistent"",""Database exception type: not recorded"",""Database exception summary: not recorded"",""Database exception summary trusted markers: none"",""Exception artifact/result: none recorded"",""All trusted exception markers: none"",""Termination / exception subtype: none"",""Visible assistant events: 1"",""Tool calls: 53"",""Workspace-changing calls: 0"",""Thinking event metadata: 28 (content neither retained nor displayed)"",""Final result: non-empty"",""Transcript evidence: complete"",""Trajectory evidence: complete"",""Database input tokens: 2712675"",""Transcript total input tokens: 2712675"",""Transcript output tokens: 10722"",""Transcript usage basis: final_aggregate"",""Synthetic retry: no"",""Explicit refusal marker: no"",""Verifier failure subtype: test_assertion_failure""]","[""fefb8fa9-06d1-427a-bb50-53946326ab37"",""fa2f3c43-105f-4cf2-8e73-0bab7af5fed2"",""6482131f-abee-4708-b3ff-8e181e14fd57"",""761503db-b169-4e76-9471-7d850fa6700c"",""93870f3f-82eb-4627-8cc8-8132110ec7a5"",""be98c437-568e-4032-bddf-6b80a2b01fbf""]",artifact-evidence-v1.3.2
revised_ordinary_controls,35ffa855-e9c1-4aac-b4bc-b4e2cf64f10a,/trials/35ffa855-e9c1-4aac-b4bc-b4e2cf64f10a,router-gpt-5.4/2026-06-19__13-47-51,router-gpt-5.4,terminal-bench-2.0:password-recovery,success,substantive,substantive_agent_activity,none_detected,none,none,consistent,8/8,available,verified,high,"[""Database reward (raw source of truth): 1"",""Harbor result reward: 1"",""Database/result reward consistency: consistent"",""Database exception type: not recorded"",""Database exception summary: not recorded"",""Database exception summary trusted markers: none"",""Exception artifact/result: none recorded"",""All trusted exception markers: none"",""Termination / exception subtype: none"",""Visible assistant events: 1"",""Tool calls: 47"",""Workspace-changing calls: 12"",""Thinking event metadata: 27 (content neither retained nor displayed)"",""Final result: non-empty"",""Transcript evidence: complete"",""Trajectory evidence: complete"",""Database input tokens: 687040"",""Transcript total input tokens: 687040"",""Transcript output tokens: 22901"",""Transcript usage basis: final_aggregate"",""Synthetic retry: no"",""Explicit refusal marker: no"",""Verifier failure subtype: none""]","[""439fb5ee-b89b-46f0-9338-ea5280be04c9"",""aca1b5cc-98c8-4d48-a6b7-f4b72be83104"",""de000de0-1f0d-464d-823a-ce7fcc7dc2c4"",""8b9dc2e5-e5a1-418d-9d1d-6a1c31cb3773"",""659e84b0-4fc2-4301-a95f-93c913abae17"",""c8fef7fe-936d-4219-8857-6baec49d3b33""]",artifact-evidence-v1.3.2
revised_ordinary_controls,3ac53702-460d-444d-9e75-6f94f1efcb9e,/trials/3ac53702-460d-444d-9e75-6f94f1efcb9e,router-anthropic-haiku-sanitized/2026-07-12__03-25-22,router-anthropic-haiku-sanitized,terminal-bench-2.0:llm-inference-batching-scheduler,failure,substantive,substantive_agent_activity,none_detected,test_assertion_failure,none,consistent,8/8,available,verified,high,"[""Database reward (raw source of truth): 0"",""Harbor result reward: 0"",""Database/result reward consistency: consistent"",""Database exception type: not recorded"",""Database exception summary: not recorded"",""Database exception summary trusted markers: none"",""Exception artifact/result: none recorded"",""All trusted exception markers: none"",""Termination / exception subtype: none"",""Visible assistant events: 37"",""Tool calls: 60"",""Workspace-changing calls: 29"",""Thinking event metadata: 0 (content neither retained nor displayed)"",""Final result: non-empty"",""Transcript evidence: complete"",""Trajectory evidence: complete"",""Database input tokens: 3996795"",""Transcript total input tokens: 3996795"",""Transcript output tokens: 41978"",""Transcript usage basis: final_aggregate"",""Synthetic retry: no"",""Explicit refusal marker: no"",""Verifier failure subtype: test_assertion_failure""]","[""d8c0d71d-5048-4f70-9d4e-40129541b5a1"",""0bcdb482-547d-40d3-9ef3-ac8f8249766c"",""ac57350a-1ea5-47d8-a8ca-05d219dbcbf0"",""7387689e-cda3-4e31-b249-9b22a824e12a"",""0d14327c-2567-434b-a46f-2c324af1b457"",""a871f664-69c4-4a0e-89a4-12647477b61f""]",artifact-evidence-v1.3.2
all_positive_reward_exceptions,3fc12f3b-4130-47c6-b4e9-28d62bbcd2b7,/trials/3fc12f3b-4130-47c6-b4e9-28d62bbcd2b7,router-gpt-5.5/2026-06-27__01-30-18,router-gpt-5.5,terminal-bench-2.0:query-optimize,success,substantive,timeout_after_meaningful_activity,none_detected,none,timeout,nonzero_mismatch,9/9,available,verified,high,"[""Database reward (raw source of truth): 1"",""Harbor result reward: 1"",""Database/result reward consistency: consistent"",""Database exception type: exception_info"",""Database exception summary: not recorded"",""Database exception summary trusted markers: none"",""Exception artifact/result: exception_info"",""All trusted exception markers: timeout"",""Termination / exception subtype: timeout"",""Visible assistant events: 1"",""Tool calls: 44"",""Workspace-changing calls: 19"",""Thinking event metadata: 30 (content neither retained nor displayed)"",""Final result: non-empty"",""Transcript evidence: complete"",""Trajectory evidence: complete"",""Database input tokens: 707334"",""Transcript total input tokens: 808178"",""Transcript output tokens: 20189"",""Transcript usage basis: final_aggregate"",""Synthetic retry: no"",""Explicit refusal marker: no"",""Verifier failure subtype: none""]","[""97980cb2-a127-4274-8279-b260b19d22f5"",""b01e5891-a3d4-426a-8d91-a30422e48a5c"",""f1a60432-49b3-4061-a3e8-e283113cdd0a"",""18112455-a735-4ade-886d-e813ba968571"",""4878fd45-40b2-4575-bbe6-ef755c81c5d8"",""1380a5ef-5654-4f5d-aac0-263a76ab4e5b"",""16ad5204-dcd8-4749-80f6-86926163d1b7""]",artifact-evidence-v1.3.2
all_reclassified_verifier_environment_v1_1_1,41a7b077-41b8-4a77-9317-c0aeaa6b3f83,/trials/41a7b077-41b8-4a77-9317-c0aeaa6b3f83,router-anthropic-haiku-sanitized/2026-07-12__03-25-22,router-anthropic-haiku-sanitized,terminal-bench-2.0:build-cython-ext,failure,substantive,substantive_agent_activity,none_detected,test_assertion_failure,none,consistent,8/8,available,verified,high,"[""Database reward (raw source of truth): 0"",""Harbor result reward: 0"",""Database/result reward consistency: consistent"",""Database exception type: not recorded"",""Database exception summary: not recorded"",""Database exception summary trusted markers: none"",""Exception artifact/result: none recorded"",""All trusted exception markers: none"",""Termination / exception subtype: none"",""Visible assistant events: 35"",""Tool calls: 77"",""Workspace-changing calls: 22"",""Thinking event metadata: 0 (content neither retained nor displayed)"",""Final result: non-empty"",""Transcript evidence: complete"",""Trajectory evidence: complete"",""Database input tokens: 4023268"",""Transcript total input tokens: 4023268"",""Transcript output tokens: 14412"",""Transcript usage basis: final_aggregate"",""Synthetic retry: no"",""Explicit refusal marker: no"",""Verifier failure subtype: test_assertion_failure""]","[""14b75227-8b15-4eac-8f0d-8d52807d63bb"",""289b8e6c-5096-4092-b593-dfe2c167de78"",""8ea12d0e-1bd4-42be-9774-8ead13e1ed15"",""8d163b01-36b9-4035-a5b7-a9f30ffa227b"",""2e9da3f9-2f62-4302-b69d-239163c49a4e"",""fe93b0a8-9f0a-45e7-b410-80b4f35d92d0""]",artifact-evidence-v1.3.2
revised_ordinary_controls,422be2f7-2264-4d02-b8fe-c474d5e9b592,/trials/422be2f7-2264-4d02-b8fe-c474d5e9b592,router-gpt-5.5/2026-06-27__01-30-18,router-gpt-5.5,terminal-bench-2.0:model-extraction-relu-logits,failure,substantive,substantive_agent_activity,none_detected,test_assertion_failure,none,consistent,8/8,available,verified,high,"[""Database reward (raw source of truth): 0"",""Harbor result reward: 0"",""Database/result reward consistency: consistent"",""Database exception type: not recorded"",""Database exception summary: not recorded"",""Database exception summary trusted markers: none"",""Exception artifact/result: none recorded"",""All trusted exception markers: none"",""Termination / exception subtype: none"",""Visible assistant events: 1"",""Tool calls: 6"",""Workspace-changing calls: 1"",""Thinking event metadata: 5 (content neither retained nor displayed)"",""Final result: non-empty"",""Transcript evidence: complete"",""Trajectory evidence: complete"",""Database input tokens: 106508"",""Transcript total input tokens: 106508"",""Transcript output tokens: 3124"",""Transcript usage basis: final_aggregate"",""Synthetic retry: no"",""Explicit refusal marker: no"",""Verifier failure subtype: test_assertion_failure""]","[""90b106ab-b944-4640-af81-d08c2876aa60"",""68f8eebc-288f-4daf-8889-5f9746b10a8d"",""0cd7e46d-f7a9-4cfe-b2c1-d175782495af"",""dbf78cef-248c-438c-a702-e1bffecae87e"",""c9c7b599-22d2-45ee-83c9-26e48de88536"",""088386b8-151e-4db6-bc69-d5336b0ea7ab""]",artifact-evidence-v1.3.2
revised_ordinary_controls,4237d9a2-48d9-44b0-a660-96dedf282765,/trials/4237d9a2-48d9-44b0-a660-96dedf282765,router-deepseek-pro/2026-06-19__13-47-59,router-deepseek-pro,terminal-bench-2.0:modernize-scientific-stack,success,substantive,substantive_agent_activity,none_detected,none,none,consistent,8/8,available,verified,high,"[""Database reward (raw source of truth): 1"",""Harbor result reward: 1"",""Database/result reward consistency: consistent"",""Database exception type: not recorded"",""Database exception summary: not recorded"",""Database exception summary trusted markers: none"",""Exception artifact/result: none recorded"",""All trusted exception markers: none"",""Termination / exception subtype: none"",""Visible assistant events: 4"",""Tool calls: 8"",""Workspace-changing calls: 3"",""Thinking event metadata: 738 (content neither retained nor displayed)"",""Final result: non-empty"",""Transcript evidence: complete"",""Trajectory evidence: complete"",""Database input tokens: 120680"",""Transcript total input tokens: 120680"",""Transcript output tokens: 2619"",""Transcript usage basis: final_aggregate"",""Synthetic retry: no"",""Explicit refusal marker: no"",""Verifier failure subtype: none""]","[""a37c3ec3-e055-4fe0-815c-6bd7166f0ed2"",""05ceb884-44a4-4992-8297-c1523b77263d"",""e8cfa4c9-efb4-4f4a-aaac-528f04ee7419"",""d8a3961e-0b9b-4158-858d-389c167d953f"",""c18aa5d8-80ef-4571-8d02-620ddc495351"",""ef34b81d-fb1f-403c-b49d-53b580bc71ec""]",artifact-evidence-v1.3.2
revised_ordinary_controls,428c8f03-a1e5-44b3-a050-82b602b099a8,/trials/428c8f03-a1e5-44b3-a050-82b602b099a8,router-anthropic-haiku-sanitized/2026-07-12__03-25-22,router-anthropic-haiku-sanitized,terminal-bench-2.0:multi-source-data-merger,success,substantive,substantive_agent_activity,none_detected,none,none,consistent,8/8,available,verified,high,"[""Database reward (raw source of truth): 1"",""Harbor result reward: 1"",""Database/result reward consistency: consistent"",""Database exception type: not recorded"",""Database exception summary: not recorded"",""Database exception summary trusted markers: none"",""Exception artifact/result: none recorded"",""All trusted exception markers: none"",""Termination / exception subtype: none"",""Visible assistant events: 5"",""Tool calls: 6"",""Workspace-changing calls: 1"",""Thinking event metadata: 0 (content neither retained nor displayed)"",""Final result: non-empty"",""Transcript evidence: complete"",""Trajectory evidence: complete"",""Database input tokens: 165364"",""Transcript total input tokens: 165364"",""Transcript output tokens: 3455"",""Transcript usage basis: final_aggregate"",""Synthetic retry: no"",""Explicit refusal marker: no"",""Verifier failure subtype: none""]","[""6d6fdea2-c53b-4507-98d5-ba4c82780a9b"",""6df6b5f0-0327-4b30-a489-3ee7b8acbc4c"",""a15fc4e9-ad11-4348-aa97-0a446a580008"",""15c4b6ff-4874-4f63-a16e-ffe725674310"",""749fb5ad-8211-4867-8ebe-2b14f756af01"",""603ace4d-dc01-47c0-ac83-d8199c9326b1""]",artifact-evidence-v1.3.2
all_positive_reward_exceptions,42eaf9de-cf5f-42af-bd5e-01d722b2753a,/trials/42eaf9de-cf5f-42af-bd5e-01d722b2753a,router-glm-5.2/2026-06-19__13-47-51,router-glm-5.2,terminal-bench-2.0:custom-memory-heap-crash,success,substantive,timeout_after_meaningful_activity,none_detected,none,timeout,partial,9/9,available,verified,high,"[""Database reward (raw source of truth): 1"",""Harbor result reward: 1"",""Database/result reward consistency: consistent"",""Database exception type: exception_info"",""Database exception summary: not recorded"",""Database exception summary trusted markers: none"",""Exception artifact/result: exception_info"",""All trusted exception markers: timeout"",""Termination / exception subtype: timeout"",""Visible assistant events: 61"",""Tool calls: 73"",""Workspace-changing calls: 39"",""Thinking event metadata: 33600 (content neither retained nor displayed)"",""Final result: not observed"",""Transcript evidence: complete"",""Trajectory evidence: complete"",""Database input tokens: 199760"",""Transcript total input tokens: 0"",""Transcript output tokens: 0"",""Transcript usage basis: per_message"",""Synthetic retry: no"",""Explicit refusal marker: no"",""Verifier failure subtype: none""]","[""acad6bde-9bd9-4acd-9458-6ba806ab970d"",""878cf8e3-21ce-4d11-92fd-8b44f5e6935a"",""79190f20-f6dd-4ae4-b230-111f83bdbe41"",""158f2140-879e-4eb5-bd77-f064e74a2925"",""ae4c518a-9d32-49eb-a8d9-332fdabed21a"",""ff178323-ce1a-4bcb-9b9e-83be60d83eb0"",""08a57a77-ed26-4ff0-bf8d-e2b2461c3db0""]",artifact-evidence-v1.3.2
revised_ordinary_controls,44f74f41-a8d3-4aed-8263-4c16636253b4,/trials/44f74f41-a8d3-4aed-8263-4c16636253b4,router-deepseek-pro/2026-06-19__13-47-59,router-deepseek-pro,terminal-bench-2.0:git-leak-recovery,success,substantive,substantive_agent_activity,none_detected,none,none,consistent,8/8,available,verified,high,"[""Database reward (raw source of truth): 1"",""Harbor result reward: 1"",""Database/result reward consistency: consistent"",""Database exception type: not recorded"",""Database exception summary: not recorded"",""Database exception summary trusted markers: none"",""Exception artifact/result: none recorded"",""All trusted exception markers: none"",""Termination / exception subtype: none"",""Visible assistant events: 5"",""Tool calls: 22"",""Workspace-changing calls: 4"",""Thinking event metadata: 585 (content neither retained nor displayed)"",""Final result: non-empty"",""Transcript evidence: complete"",""Trajectory evidence: complete"",""Database input tokens: 209872"",""Transcript total input tokens: 209872"",""Transcript output tokens: 2464"",""Transcript usage basis: final_aggregate"",""Synthetic retry: no"",""Explicit refusal marker: no"",""Verifier failure subtype: none""]","[""bf2cedef-3305-451b-a062-d4459ac4b608"",""eae59b25-bdca-4ed8-b10d-97284ac8bd4d"",""0e6883c6-c27d-4637-833b-4e1d79bf38be"",""5f300bfb-8905-48e5-a6a2-1e9edd84002e"",""34e499f8-b7a4-4c13-b332-2ee132e5adaf"",""5028d4bd-8e6e-44a9-96c3-b5feed347444""]",artifact-evidence-v1.3.2
all_reclassified_verifier_environment_v1_1_1,46c571a0-1d6d-4514-ac31-e98589413d17,/trials/46c571a0-1d6d-4514-ac31-e98589413d17,router-grok-build-0.1/2026-06-28__13-28-55,router-grok-build-0.1,terminal-bench-2.0:build-cython-ext,failure,substantive,substantive_agent_activity,none_detected,test_assertion_failure,none,consistent,8/8,available,verified,high,"[""Database reward (raw source of truth): 0"",""Harbor result reward: 0"",""Database/result reward consistency: consistent"",""Database exception type: not recorded"",""Database exception summary: not recorded"",""Database exception summary trusted markers: none"",""Exception artifact/result: none recorded"",""All trusted exception markers: none"",""Termination / exception subtype: none"",""Visible assistant events: 1"",""Tool calls: 360"",""Workspace-changing calls: 253"",""Thinking event metadata: 6002 (content neither retained nor displayed)"",""Final result: non-empty"",""Transcript evidence: complete"",""Trajectory evidence: complete"",""Database input tokens: 115334"",""Transcript total input tokens: 115334"",""Transcript output tokens: 41048"",""Transcript usage basis: final_aggregate"",""Synthetic retry: no"",""Explicit refusal marker: no"",""Verifier failure subtype: test_assertion_failure""]","[""5d14bf5a-49ff-428f-b6c1-409e3ec348d1"",""0421ab7b-1754-43a0-864a-e3c42bb58fc8"",""32fa6703-ca65-4241-8765-6431feab2442"",""9c2b5954-15e9-4e7b-bd68-a113dc5a4c5c"",""e7a51002-8b07-49f1-9d66-70d582c1303d"",""33189148-473e-4416-af6d-ea7b0411c5b1""]",artifact-evidence-v1.3.2
all_extraneous_output_artifacts;revised_ordinary_controls,48d114f4-25f6-4646-b7f6-c7c65e3d770a,/trials/48d114f4-25f6-4646-b7f6-c7c65e3d770a,router-glm-5.1/2026-06-28__13-28-50,router-glm-5.1,terminal-bench-2.0:polyglot-rust-c,failure,substantive,substantive_agent_activity,none_detected,extraneous_output_artifacts,none,consistent,8/8,available,verified,high,"[""Database reward (raw source of truth): 0"",""Harbor result reward: 0"",""Database/result reward consistency: consistent"",""Database exception type: not recorded"",""Database exception summary: not recorded"",""Database exception summary trusted markers: none"",""Exception artifact/result: none recorded"",""All trusted exception markers: none"",""Termination / exception subtype: none"",""Visible assistant events: 3"",""Tool calls: 4"",""Workspace-changing calls: 2"",""Thinking event metadata: 13558 (content neither retained nor displayed)"",""Final result: non-empty"",""Transcript evidence: complete"",""Trajectory evidence: complete"",""Database input tokens: 2509"",""Transcript total input tokens: 2509"",""Transcript output tokens: 14417"",""Transcript usage basis: final_aggregate"",""Synthetic retry: no"",""Explicit refusal marker: no"",""Verifier failure subtype: extraneous_output_artifacts""]","[""e1f3c0ea-554e-4ec4-b634-1fa54e6e2ad6"",""ca603edb-b073-4a53-971c-a86cc8d47842"",""9d1f3a08-ef9b-44dd-9856-da7a7a941970"",""e343bbf1-163a-4442-9aec-5a725c42f1ca"",""185bb3b4-61d9-46a2-90b7-71ada1c45a8b"",""11db594a-e5fc-494f-83c0-ee2eddc65b4c""]",artifact-evidence-v1.3.2
all_extraneous_output_artifacts,494b34d5-d5f2-4881-9813-2e088d37147b,/trials/494b34d5-d5f2-4881-9813-2e088d37147b,router-qwen-3.7-plus/2026-06-29__03-16-06,router-qwen-3.7-plus,terminal-bench-2.0:polyglot-rust-c,failure,substantive,substantive_agent_activity,none_detected,extraneous_output_artifacts,none,consistent,8/8,available,verified,high,"[""Database reward (raw source of truth): 0"",""Harbor result reward: 0"",""Database/result reward consistency: consistent"",""Database exception type: not recorded"",""Database exception summary: not recorded"",""Database exception summary trusted markers: none"",""Exception artifact/result: none recorded"",""All trusted exception markers: none"",""Termination / exception subtype: none"",""Visible assistant events: 5"",""Tool calls: 10"",""Workspace-changing calls: 3"",""Thinking event metadata: 5278 (content neither retained nor displayed)"",""Final result: non-empty"",""Transcript evidence: complete"",""Trajectory evidence: complete"",""Database input tokens: 16640"",""Transcript total input tokens: 16640"",""Transcript output tokens: 20119"",""Transcript usage basis: final_aggregate"",""Synthetic retry: no"",""Explicit refusal marker: no"",""Verifier failure subtype: extraneous_output_artifacts""]","[""1730b38a-9fef-433c-9e25-a371a90df114"",""4a35b1d9-fe67-4f69-a31d-d977b2ca0547"",""86222e11-10a6-48b7-9476-273d5e03d188"",""f4fe2807-d653-4fe6-b2e5-cfcd7aa0ed5b"",""4f199207-bad7-42e9-8d08-5e4a4e99e7e9"",""6f24baa4-cd2e-4c8b-82ad-6c7ee77d83f1""]",artifact-evidence-v1.3.2
revised_ordinary_controls,4b5b4fff-dded-4027-9d61-b2d87c6ad971,/trials/4b5b4fff-dded-4027-9d61-b2d87c6ad971,router-qwen-3.7-plus/2026-06-29__03-16-06,router-qwen-3.7-plus,terminal-bench-2.0:configure-git-webserver,failure,substantive,substantive_agent_activity,none_detected,test_assertion_failure,none,consistent,8/8,available,verified,high,"[""Database reward (raw source of truth): 0"",""Harbor result reward: 0"",""Database/result reward consistency: consistent"",""Database exception type: not recorded"",""Database exception summary: not recorded"",""Database exception summary trusted markers: none"",""Exception artifact/result: none recorded"",""All trusted exception markers: none"",""Termination / exception subtype: none"",""Visible assistant events: 12"",""Tool calls: 25"",""Workspace-changing calls: 12"",""Thinking event metadata: 459 (content neither retained nor displayed)"",""Final result: non-empty"",""Transcript evidence: complete"",""Trajectory evidence: complete"",""Database input tokens: 40794"",""Transcript total input tokens: 40794"",""Transcript output tokens: 4043"",""Transcript usage basis: final_aggregate"",""Synthetic retry: no"",""Explicit refusal marker: no"",""Verifier failure subtype: test_assertion_failure""]","[""a4546d73-6f22-4127-ba29-9b76427c86b0"",""8406997c-49c5-47c7-89fc-d85b22a6dfd7"",""454ef518-3b07-44fa-b045-c2d5f5d2171d"",""9388cbd7-092d-44c7-a3fc-05a0aacf25c6"",""1d4148d0-7f70-4d68-990a-924446f1cb6a"",""c9ec4f3c-be73-4cbb-aa7b-8a41359fe097""]",artifact-evidence-v1.3.2
all_reclassified_setup_transport_v1_1_1,4d444fa2-9a5a-4270-8971-e870b75f5716,/trials/4d444fa2-9a5a-4270-8971-e870b75f5716,router-glm-5.1/2026-06-28__13-28-50,router-glm-5.1,terminal-bench-2.0:nginx-request-logging,failure,unknown,activity_unknown,none_detected,timeout,timeout,database_missing_transcript_present,9/9,available,verified,high,"[""Database reward (raw source of truth): 0"",""Harbor result reward: 0"",""Database/result reward consistency: consistent"",""Database exception type: exception_info"",""Database exception summary: not recorded"",""Database exception summary trusted markers: none"",""Exception artifact/result: exception_info"",""All trusted exception markers: none"",""Termination / exception subtype: timeout"",""Visible assistant events: 0"",""Tool calls: 0"",""Workspace-changing calls: 0"",""Thinking event metadata: 0 (content neither retained nor displayed)"",""Final result: non-empty"",""Transcript evidence: complete"",""Trajectory evidence: complete"",""Database input tokens: not recorded"",""Transcript total input tokens: 0"",""Transcript output tokens: 0"",""Transcript usage basis: final_aggregate"",""Synthetic retry: no"",""Explicit refusal marker: no"",""Verifier failure subtype: timeout""]","[""57afcb45-07bd-405b-bb21-24cb36ca4b3f"",""90742ddb-2e53-4709-bbbf-50f77a1f79ce"",""0e93f24f-36ba-4c70-b7fd-119e23fd5507"",""9a707c07-1ec8-442f-9b73-5a657fd1b4e1"",""0c609e08-5d60-4c8d-b892-2e6c0386911a"",""962dd535-62ba-4851-8025-8ba0e2cef6ef"",""fb91b6d9-5253-474b-9895-f3c56e7e7529""]",artifact-evidence-v1.3.2
revised_ordinary_controls,4dd0d868-b22a-41d7-8265-849040f5b37e,/trials/4dd0d868-b22a-41d7-8265-849040f5b37e,router-gpt-5.4/2026-06-19__13-47-51,router-gpt-5.4,terminal-bench-2.0:custom-memory-heap-crash,success,substantive,substantive_agent_activity,none_detected,none,none,consistent,8/8,available,verified,high,"[""Database reward (raw source of truth): 1"",""Harbor result reward: 1"",""Database/result reward consistency: consistent"",""Database exception type: not recorded"",""Database exception summary: not recorded"",""Database exception summary trusted markers: none"",""Exception artifact/result: none recorded"",""All trusted exception markers: none"",""Termination / exception subtype: none"",""Visible assistant events: 1"",""Tool calls: 56"",""Workspace-changing calls: 3"",""Thinking event metadata: 20 (content neither retained nor displayed)"",""Final result: non-empty"",""Transcript evidence: complete"",""Trajectory evidence: complete"",""Database input tokens: 877766"",""Transcript total input tokens: 877766"",""Transcript output tokens: 18516"",""Transcript usage basis: final_aggregate"",""Synthetic retry: no"",""Explicit refusal marker: no"",""Verifier failure subtype: none""]","[""a79befb8-be4a-4c78-89e7-3fdd62828700"",""8067ffc7-7ce4-4b12-938e-09e4fb4b8793"",""938822aa-84e9-40fe-9a86-b7cea58eb797"",""8bf3e35b-dba0-437e-a704-08ccca7e082b"",""c23aeae1-4d67-49aa-9a1b-1bfb4da07c14"",""7936b883-738c-4297-860d-802d4ff50f39""]",artifact-evidence-v1.3.2
all_positive_reward_exceptions,4e58527b-178b-4488-8f70-7bab1937487e,/trials/4e58527b-178b-4488-8f70-7bab1937487e,router-kimi-k3/2026-07-22__17-51-05,router-kimi-k3,terminal-bench-2.0:cancel-async-tasks,success,substantive,timeout_after_meaningful_activity,none_detected,none,timeout,partial,9/9,available,verified,high,"[""Database reward (raw source of truth): 1"",""Harbor result reward: 1"",""Database/result reward consistency: consistent"",""Database exception type: exception_info"",""Database exception summary: not recorded"",""Database exception summary trusted markers: none"",""Exception artifact/result: exception_info"",""All trusted exception markers: timeout"",""Termination / exception subtype: timeout"",""Visible assistant events: 5"",""Tool calls: 6"",""Workspace-changing calls: 3"",""Thinking event metadata: 23668 (content neither retained nor displayed)"",""Final result: not observed"",""Transcript evidence: complete"",""Trajectory evidence: complete"",""Database input tokens: 107652"",""Transcript total input tokens: 0"",""Transcript output tokens: 0"",""Transcript usage basis: per_message"",""Synthetic retry: no"",""Explicit refusal marker: no"",""Verifier failure subtype: none""]","[""e3b85d56-23ae-4756-9f4c-46b3e519cd96"",""8323569f-1f56-4b48-9328-d5856b9dc04f"",""9be22228-16b6-4803-8aec-88933eec7a07"",""c3f111e3-83d5-4ef7-8f73-2a5aa24c98f9"",""99fe1d1e-f95d-4260-af44-1fc487cba6e5"",""db6eb014-9aad-42a9-a125-fa9dd7a552f3"",""330a4834-4d8e-497e-9e1a-b9b5832c3eb1""]",artifact-evidence-v1.3.2
all_positive_reward_exceptions,4fd16173-4c58-492f-ae47-a664d5f1e696,/trials/4fd16173-4c58-492f-ae47-a664d5f1e696,router-kimi-k3/2026-07-22__17-51-05,router-kimi-k3,terminal-bench-2.0:cancel-async-tasks,success,substantive,timeout_after_meaningful_activity,none_detected,none,timeout,partial,9/9,available,verified,high,"[""Database reward (raw source of truth): 1"",""Harbor result reward: 1"",""Database/result reward consistency: consistent"",""Database exception type: exception_info"",""Database exception summary: not recorded"",""Database exception summary trusted markers: none"",""Exception artifact/result: exception_info"",""All trusted exception markers: timeout"",""Termination / exception subtype: timeout"",""Visible assistant events: 9"",""Tool calls: 12"",""Workspace-changing calls: 7"",""Thinking event metadata: 27288 (content neither retained nor displayed)"",""Final result: not observed"",""Transcript evidence: complete"",""Trajectory evidence: complete"",""Database input tokens: 160979"",""Transcript total input tokens: 0"",""Transcript output tokens: 0"",""Transcript usage basis: per_message"",""Synthetic retry: no"",""Explicit refusal marker: no"",""Verifier failure subtype: none""]","[""0b31b9dc-aa2d-4184-bf67-5470aee06090"",""052d0463-ad75-4e20-8e46-002f1faa48e0"",""df1c5da9-91cd-4a69-9733-19e4b4cfd777"",""4b3d9a78-bf65-44c4-8f98-ecda506de917"",""1e9df7fb-0a94-415e-a5df-110485b3286b"",""1d637ddb-3699-401c-bd86-8502f6c168ed"",""6b0b16dc-0976-40c6-9bb2-1fb24aad92e7""]",artifact-evidence-v1.3.2
revised_ordinary_controls,563c3286-0019-414e-b8e9-fb930edfed7d,/trials/563c3286-0019-414e-b8e9-fb930edfed7d,router-gemini-flash/2026-06-27__01-30-20,router-gemini-flash,terminal-bench-2.0:torch-pipeline-parallelism,failure,substantive,substantive_agent_activity,none_detected,test_assertion_failure,none,consistent,8/8,available,verified,high,"[""Database reward (raw source of truth): 0"",""Harbor result reward: 0"",""Database/result reward consistency: consistent"",""Database exception type: not recorded"",""Database exception summary: not recorded"",""Database exception summary trusted markers: none"",""Exception artifact/result: none recorded"",""All trusted exception markers: none"",""Termination / exception subtype: none"",""Visible assistant events: 15"",""Tool calls: 19"",""Workspace-changing calls: 9"",""Thinking event metadata: 9 (content neither retained nor displayed)"",""Final result: non-empty"",""Transcript evidence: complete"",""Trajectory evidence: complete"",""Database input tokens: 530775"",""Transcript total input tokens: 530775"",""Transcript output tokens: 38790"",""Transcript usage basis: final_aggregate"",""Synthetic retry: yes (1)"",""Explicit refusal marker: no"",""Verifier failure subtype: test_assertion_failure""]","[""ff2af105-d8d0-40e9-a02a-0d64fe39ad0f"",""3a5dcda1-a97c-44f8-b0aa-fb4cc8adec0a"",""795c3ca5-4bc0-4ff0-a50e-aca90ef5f184"",""33f843f3-36f1-4928-95cb-3b5cce7fa49e"",""efb5e65f-6fcc-47be-b59c-7480bdc0e001"",""9c9ecc69-c9fa-462d-99c7-049d7e3d1c99""]",artifact-evidence-v1.3.2
