sample_stratum,arm_id,trial_id,task_id,raw_outcome,execution_validity,activity_subtype,failure_subtype,termination_subtype,telemetry_status,evidence_complete,trial_link
incomplete_evidence_control,router-anthropic-opus,c8e2ab43-fa99-48e1-a5dd-9d49b2006cf5,terminal-bench-2.0:query-optimize,not_recorded,substantive,timeout_after_meaningful_activity,timeout,timeout,nonzero_mismatch,False,/trials/c8e2ab43-fa99-48e1-a5dd-9d49b2006cf5
incomplete_evidence_control,router-anthropic-opus,dd4c9fae-2693-4c23-88b1-9d52420c2180,terminal-bench-2.0:query-optimize,not_recorded,substantive,timeout_after_meaningful_activity,timeout,timeout,nonzero_mismatch,False,/trials/dd4c9fae-2693-4c23-88b1-9d52420c2180
ordinary_success,router-anthropic-sonnet,8d09b41c-58d0-4930-a73a-d8a93fb63400,terminal-bench-2.0:nginx-request-logging,success,substantive,substantive_agent_activity,none,none,consistent,True,/trials/8d09b41c-58d0-4930-a73a-d8a93fb63400
ordinary_success,router-anthropic-sonnet,c3e8aeaf-6f4e-4d9b-9ac5-981764ecc949,terminal-bench-2.0:query-optimize,success,substantive,substantive_agent_activity,none,none,consistent,True,/trials/c3e8aeaf-6f4e-4d9b-9ac5-981764ecc949
ordinary_failure,router-anthropic-sonnet,20627f85-db2b-4a41-86e5-a8d156262e02,terminal-bench-2.0:mteb-retrieve,failure,substantive,substantive_agent_activity,test_assertion_failure,none,consistent,True,/trials/20627f85-db2b-4a41-86e5-a8d156262e02
ordinary_failure,router-anthropic-sonnet,b22c4c31-860f-4a9f-b1ec-401e78392909,terminal-bench-2.0:mteb-retrieve,failure,substantive,substantive_agent_activity,test_assertion_failure,none,consistent,True,/trials/b22c4c31-860f-4a9f-b1ec-401e78392909
timeout_control,router-anthropic-sonnet,65f2f7c1-4e43-4e1f-9592-f80dc3e43574,terminal-bench-2.0:openssl-selfsigned-cert,failure,unknown,activity_unknown,timeout,timeout,database_missing_transcript_present,True,/trials/65f2f7c1-4e43-4e1f-9592-f80dc3e43574
timeout_control,router-anthropic-sonnet,59cca28a-0e79-4751-9ca4-70b50464bd95,terminal-bench-2.0:build-cython-ext,failure,unknown,activity_unknown,timeout,timeout,database_missing_transcript_present,True,/trials/59cca28a-0e79-4751-9ca4-70b50464bd95
ordinary_success,router-deepseek-flash,acc24821-d0b0-4cf2-8416-94464a27d266,terminal-bench-2.0:cancel-async-tasks,success,substantive,substantive_agent_activity,none,none,consistent,True,/trials/acc24821-d0b0-4cf2-8416-94464a27d266
ordinary_success,router-deepseek-flash,0fc8ebfd-99d6-4878-91ec-69b0a7b859dd,terminal-bench-2.0:build-cython-ext,success,substantive,substantive_agent_activity,none,none,consistent,True,/trials/0fc8ebfd-99d6-4878-91ec-69b0a7b859dd
ordinary_failure,router-deepseek-flash,9806fccf-8b71-4f07-a45b-70c1d4529290,terminal-bench-2.0:torch-pipeline-parallelism,failure,substantive,substantive_agent_activity,test_assertion_failure,none,consistent,True,/trials/9806fccf-8b71-4f07-a45b-70c1d4529290
ordinary_failure,router-deepseek-flash,962bc658-f887-4924-b923-2d2c40645ace,terminal-bench-2.0:torch-pipeline-parallelism,failure,substantive,substantive_agent_activity,test_assertion_failure,none,consistent,True,/trials/962bc658-f887-4924-b923-2d2c40645ace
timeout_control,router-deepseek-flash,7da41a56-a1ca-4c6a-9f09-5f187a5db4d1,terminal-bench-2.0:polyglot-rust-c,failure,substantive,timeout_after_meaningful_activity,timeout,timeout,incomplete_evidence,False,/trials/7da41a56-a1ca-4c6a-9f09-5f187a5db4d1
timeout_control,router-deepseek-flash,fdbea548-937e-4de0-bbe9-f17853b0ed59,terminal-bench-2.0:query-optimize,not_recorded,substantive,timeout_after_meaningful_activity,timeout,timeout,consistent,True,/trials/fdbea548-937e-4de0-bbe9-f17853b0ed59
incomplete_evidence_control,router-deepseek-flash,7da41a56-a1ca-4c6a-9f09-5f187a5db4d1,terminal-bench-2.0:polyglot-rust-c,failure,substantive,timeout_after_meaningful_activity,timeout,timeout,incomplete_evidence,False,/trials/7da41a56-a1ca-4c6a-9f09-5f187a5db4d1
incomplete_evidence_control,router-deepseek-flash,b9d9329c-8854-44b0-8785-c2ee00d8c2dc,terminal-bench-2.0:schemelike-metacircular-eval,failure,substantive,timeout_after_meaningful_activity,timeout,timeout,incomplete_evidence,False,/trials/b9d9329c-8854-44b0-8785-c2ee00d8c2dc
ordinary_success,router-deepseek-pro,44f74f41-a8d3-4aed-8263-4c16636253b4,terminal-bench-2.0:git-leak-recovery,success,substantive,substantive_agent_activity,none,none,consistent,True,/trials/44f74f41-a8d3-4aed-8263-4c16636253b4
ordinary_success,router-deepseek-pro,4237d9a2-48d9-44b0-a660-96dedf282765,terminal-bench-2.0:modernize-scientific-stack,success,substantive,substantive_agent_activity,none,none,consistent,True,/trials/4237d9a2-48d9-44b0-a660-96dedf282765
ordinary_failure,router-deepseek-pro,d74c5efa-b64a-438c-84dd-ea688d3a7471,terminal-bench-2.0:model-extraction-relu-logits,failure,substantive,substantive_agent_activity,test_assertion_failure,none,consistent,True,/trials/d74c5efa-b64a-438c-84dd-ea688d3a7471
ordinary_failure,router-deepseek-pro,a12ed169-7774-4b37-9a3b-daf549537fbe,terminal-bench-2.0:mteb-retrieve,failure,substantive,substantive_agent_activity,test_assertion_failure,none,consistent,True,/trials/a12ed169-7774-4b37-9a3b-daf549537fbe
timeout_control,router-deepseek-pro,0d107aca-e5d1-4967-a41a-5df098f9acce,terminal-bench-2.0:model-extraction-relu-logits,failure,substantive,timeout_after_meaningful_activity,timeout,timeout,partial,True,/trials/0d107aca-e5d1-4967-a41a-5df098f9acce
timeout_control,router-deepseek-pro,421e8863-8c60-4dbb-a949-bafee4df2c56,terminal-bench-2.0:polyglot-rust-c,failure,substantive,timeout_after_meaningful_activity,timeout,timeout,incomplete_evidence,False,/trials/421e8863-8c60-4dbb-a949-bafee4df2c56
incomplete_evidence_control,router-deepseek-pro,a96bdc8e-6778-4a50-9b32-f28f69d63a1d,terminal-bench-2.0:custom-memory-heap-crash,success,substantive,substantive_agent_activity,none,none,incomplete_evidence,False,/trials/a96bdc8e-6778-4a50-9b32-f28f69d63a1d
incomplete_evidence_control,router-deepseek-pro,adb8b555-8ee6-4b73-bfe5-8c87710b00c0,terminal-bench-2.0:schemelike-metacircular-eval,success,substantive,substantive_agent_activity,none,none,incomplete_evidence,False,/trials/adb8b555-8ee6-4b73-bfe5-8c87710b00c0
ordinary_success,router-gemini-3.1-pro,e5d4bbb9-048b-4e91-b4c9-0a9572ac09f1,terminal-bench-2.0:modernize-scientific-stack,success,substantive,substantive_agent_activity,none,none,consistent,True,/trials/e5d4bbb9-048b-4e91-b4c9-0a9572ac09f1
ordinary_success,router-gemini-3.1-pro,f69536e9-8b38-499d-b455-4630a41dcfa8,terminal-bench-2.0:openssl-selfsigned-cert,success,substantive,substantive_agent_activity,none,none,consistent,True,/trials/f69536e9-8b38-499d-b455-4630a41dcfa8
ordinary_failure,router-gemini-3.1-pro,cf3e9b27-cae5-44a3-9c51-99eb2cd52985,terminal-bench-2.0:torch-pipeline-parallelism,failure,substantive,substantive_agent_activity,test_assertion_failure,none,consistent,True,/trials/cf3e9b27-cae5-44a3-9c51-99eb2cd52985
ordinary_failure,router-gemini-3.1-pro,bcd1cff0-ee00-46cf-a782-22764189eb16,terminal-bench-2.0:polyglot-rust-c,failure,substantive,substantive_agent_activity,extraneous_output_artifacts,none,consistent,True,/trials/bcd1cff0-ee00-46cf-a782-22764189eb16
timeout_control,router-gemini-3.1-pro,69e80075-29f6-4f36-be07-223a9003c593,terminal-bench-2.0:build-cython-ext,failure,substantive,timeout_after_meaningful_activity,timeout,timeout,partial,True,/trials/69e80075-29f6-4f36-be07-223a9003c593
timeout_control,router-gemini-3.1-pro,5f5052d1-23d1-450b-84a6-5978046c9cf3,terminal-bench-2.0:query-optimize,not_recorded,substantive,timeout_after_meaningful_activity,timeout,timeout,nonzero_mismatch,False,/trials/5f5052d1-23d1-450b-84a6-5978046c9cf3
telemetry_mismatch_control,router-gemini-3.1-pro,3433f91b-e4fc-4f06-9be3-d17e8626c0dd,terminal-bench-2.0:fix-code-vulnerability,success,substantive,substantive_agent_activity,none,none,nonzero_mismatch,True,/trials/3433f91b-e4fc-4f06-9be3-d17e8626c0dd
telemetry_mismatch_control,router-gemini-3.1-pro,23eae455-9092-4899-8966-a1640278c683,terminal-bench-2.0:custom-memory-heap-crash,success,substantive,substantive_agent_activity,none,none,nonzero_mismatch,True,/trials/23eae455-9092-4899-8966-a1640278c683
exception_success_control,router-gemini-3.1-pro,5b3dfd21-b6af-4903-b2e7-6457dec8fadf,terminal-bench-2.0:multi-source-data-merger,success,substantive,timeout_after_meaningful_activity,none,timeout,partial,True,/trials/5b3dfd21-b6af-4903-b2e7-6457dec8fadf
exception_success_control,router-gemini-3.1-pro,a98bdb16-fbbd-4a1f-9ccb-ecf50a22a656,terminal-bench-2.0:configure-git-webserver,success,substantive,timeout_after_meaningful_activity,none,timeout,partial,True,/trials/a98bdb16-fbbd-4a1f-9ccb-ecf50a22a656
incomplete_evidence_control,router-gemini-3.1-pro,5f5052d1-23d1-450b-84a6-5978046c9cf3,terminal-bench-2.0:query-optimize,not_recorded,substantive,timeout_after_meaningful_activity,timeout,timeout,nonzero_mismatch,False,/trials/5f5052d1-23d1-450b-84a6-5978046c9cf3
incomplete_evidence_control,router-gemini-3.1-pro,2a5ed9a3-e954-409d-8847-a4fa7c36fab2,terminal-bench-2.0:query-optimize,not_recorded,substantive,timeout_after_meaningful_activity,timeout,timeout,nonzero_mismatch,False,/trials/2a5ed9a3-e954-409d-8847-a4fa7c36fab2
ordinary_failure,router-gemini-flash,563c3286-0019-414e-b8e9-fb930edfed7d,terminal-bench-2.0:torch-pipeline-parallelism,failure,substantive,substantive_agent_activity,test_assertion_failure,none,consistent,True,/trials/563c3286-0019-414e-b8e9-fb930edfed7d
ordinary_failure,router-gemini-flash,5b185727-2250-4245-b4f7-097b45049168,terminal-bench-2.0:polyglot-rust-c,failure,substantive,substantive_agent_activity,missing_required_output,none,consistent,True,/trials/5b185727-2250-4245-b4f7-097b45049168
timeout_control,router-gemini-flash,28e74d7d-d464-43d1-8d06-9f14b7e1078a,terminal-bench-2.0:model-extraction-relu-logits,failure,substantive,timeout_after_meaningful_activity,timeout,timeout,partial,True,/trials/28e74d7d-d464-43d1-8d06-9f14b7e1078a
timeout_control,router-gemini-flash,57e0022f-7fa4-4cca-8264-caf32356c44b,terminal-bench-2.0:configure-git-webserver,failure,substantive,timeout_after_meaningful_activity,timeout,timeout,partial,True,/trials/57e0022f-7fa4-4cca-8264-caf32356c44b
telemetry_mismatch_control,router-gemini-flash,c5017ba1-2e2a-474d-a7b8-8108d43ad95e,terminal-bench-2.0:polyglot-rust-c,failure,substantive,substantive_agent_activity,extraneous_output_artifacts,none,nonzero_mismatch,True,/trials/c5017ba1-2e2a-474d-a7b8-8108d43ad95e
telemetry_mismatch_control,router-gemini-flash,7db71f88-4157-4a02-aa85-62221ccfef68,terminal-bench-2.0:modernize-scientific-stack,success,substantive,substantive_agent_activity,none,none,nonzero_mismatch,True,/trials/7db71f88-4157-4a02-aa85-62221ccfef68
exception_success_control,router-gemini-flash,1e387c08-85e6-495d-80fe-6f97a04506a5,terminal-bench-2.0:fix-code-vulnerability,success,substantive,timeout_after_meaningful_activity,none,timeout,partial,True,/trials/1e387c08-85e6-495d-80fe-6f97a04506a5
exception_success_control,router-gemini-flash,06069bcf-6f36-4000-aa41-85501e197164,terminal-bench-2.0:modernize-scientific-stack,success,substantive,timeout_after_meaningful_activity,none,timeout,partial,True,/trials/06069bcf-6f36-4000-aa41-85501e197164
ordinary_success,router-glm-5.1,244675de-18dd-4a21-a633-8894e44cce7d,terminal-bench-2.0:password-recovery,success,substantive,substantive_agent_activity,none,none,consistent,True,/trials/244675de-18dd-4a21-a633-8894e44cce7d
ordinary_success,router-glm-5.1,e3e7fefd-441f-48e7-b707-e888c38a48a7,terminal-bench-2.0:build-cython-ext,success,substantive,substantive_agent_activity,none,none,consistent,True,/trials/e3e7fefd-441f-48e7-b707-e888c38a48a7
ordinary_failure,router-glm-5.1,60bb178e-26b7-4fc3-b27d-67142c79486c,terminal-bench-2.0:cancel-async-tasks,failure,substantive,substantive_agent_activity,test_assertion_failure,none,consistent,True,/trials/60bb178e-26b7-4fc3-b27d-67142c79486c
ordinary_failure,router-glm-5.1,48d114f4-25f6-4646-b7f6-c7c65e3d770a,terminal-bench-2.0:polyglot-rust-c,failure,substantive,substantive_agent_activity,extraneous_output_artifacts,none,consistent,True,/trials/48d114f4-25f6-4646-b7f6-c7c65e3d770a
timeout_control,router-glm-5.1,8e15b710-3e72-4d37-af71-3dd2ecbfb39c,terminal-bench-2.0:torch-pipeline-parallelism,failure,substantive,timeout_after_meaningful_activity,timeout,timeout,incomplete_evidence,False,/trials/8e15b710-3e72-4d37-af71-3dd2ecbfb39c
timeout_control,router-glm-5.1,d0375395-e8e9-4d4c-9b84-93a709f7be73,terminal-bench-2.0:torch-pipeline-parallelism,failure,unknown,activity_unknown,timeout,timeout,incomplete_evidence,False,/trials/d0375395-e8e9-4d4c-9b84-93a709f7be73
exception_success_control,router-glm-5.1,e8a01e21-002d-4c9e-8f88-d4d3dbc81f0c,terminal-bench-2.0:torch-pipeline-parallelism,success,substantive,timeout_after_meaningful_activity,none,timeout,partial,True,/trials/e8a01e21-002d-4c9e-8f88-d4d3dbc81f0c
incomplete_evidence_control,router-glm-5.1,8e15b710-3e72-4d37-af71-3dd2ecbfb39c,terminal-bench-2.0:torch-pipeline-parallelism,failure,substantive,timeout_after_meaningful_activity,timeout,timeout,incomplete_evidence,False,/trials/8e15b710-3e72-4d37-af71-3dd2ecbfb39c
incomplete_evidence_control,router-glm-5.1,d0375395-e8e9-4d4c-9b84-93a709f7be73,terminal-bench-2.0:torch-pipeline-parallelism,failure,unknown,activity_unknown,timeout,timeout,incomplete_evidence,False,/trials/d0375395-e8e9-4d4c-9b84-93a709f7be73
ordinary_success,router-glm-5.2,78ac7370-8848-4fb6-a69e-1923e0c21f9b,terminal-bench-2.0:git-leak-recovery,success,substantive,substantive_agent_activity,none,none,consistent,True,/trials/78ac7370-8848-4fb6-a69e-1923e0c21f9b
ordinary_success,router-glm-5.2,b10b5344-9cfe-467b-95c0-eb245fcd87d7,terminal-bench-2.0:multi-source-data-merger,success,substantive,substantive_agent_activity,none,none,consistent,True,/trials/b10b5344-9cfe-467b-95c0-eb245fcd87d7
ordinary_failure,router-glm-5.2,9bd546e2-7ee1-43ad-ba8c-5bc1a103cd86,terminal-bench-2.0:cancel-async-tasks,failure,substantive,substantive_agent_activity,test_assertion_failure,none,consistent,True,/trials/9bd546e2-7ee1-43ad-ba8c-5bc1a103cd86
ordinary_failure,router-glm-5.2,8ee98dbf-3281-4419-99ce-5bdd914bd384,terminal-bench-2.0:cancel-async-tasks,failure,substantive,substantive_agent_activity,test_assertion_failure,none,consistent,True,/trials/8ee98dbf-3281-4419-99ce-5bdd914bd384
timeout_control,router-glm-5.2,8168d580-ff6a-4a8d-b6a2-641fd1b2c96e,terminal-bench-2.0:schemelike-metacircular-eval,failure,substantive,timeout_after_meaningful_activity,timeout,timeout,incomplete_evidence,False,/trials/8168d580-ff6a-4a8d-b6a2-641fd1b2c96e
timeout_control,router-glm-5.2,b8a828b4-78e7-48a2-b833-7e84d2f84249,terminal-bench-2.0:model-extraction-relu-logits,failure,substantive,timeout_after_meaningful_activity,timeout,timeout,incomplete_evidence,False,/trials/b8a828b4-78e7-48a2-b833-7e84d2f84249
exception_success_control,router-glm-5.2,5ff09866-c2fb-4694-8d21-740c7c1a7e28,terminal-bench-2.0:llm-inference-batching-scheduler,success,substantive,timeout_after_meaningful_activity,none,timeout,incomplete_evidence,False,/trials/5ff09866-c2fb-4694-8d21-740c7c1a7e28
exception_success_control,router-glm-5.2,051eafcf-b162-4096-b468-ee85c9affeca,terminal-bench-2.0:schemelike-metacircular-eval,success,substantive,timeout_after_meaningful_activity,none,timeout,partial,True,/trials/051eafcf-b162-4096-b468-ee85c9affeca
incomplete_evidence_control,router-glm-5.2,8168d580-ff6a-4a8d-b6a2-641fd1b2c96e,terminal-bench-2.0:schemelike-metacircular-eval,failure,substantive,timeout_after_meaningful_activity,timeout,timeout,incomplete_evidence,False,/trials/8168d580-ff6a-4a8d-b6a2-641fd1b2c96e
incomplete_evidence_control,router-glm-5.2,7339174e-721b-4497-8cc9-a9a209c584e4,terminal-bench-2.0:custom-memory-heap-crash,success,substantive,substantive_agent_activity,none,none,incomplete_evidence,False,/trials/7339174e-721b-4497-8cc9-a9a209c584e4
ordinary_success,router-gpt-5.4,4dd0d868-b22a-41d7-8265-849040f5b37e,terminal-bench-2.0:custom-memory-heap-crash,success,substantive,substantive_agent_activity,none,none,consistent,True,/trials/4dd0d868-b22a-41d7-8265-849040f5b37e
ordinary_success,router-gpt-5.4,35ffa855-e9c1-4aac-b4bc-b4e2cf64f10a,terminal-bench-2.0:password-recovery,success,substantive,substantive_agent_activity,none,none,consistent,True,/trials/35ffa855-e9c1-4aac-b4bc-b4e2cf64f10a
ordinary_failure,router-gpt-5.4,21970fb6-402a-48f5-a788-b87f7749fa07,terminal-bench-2.0:torch-pipeline-parallelism,failure,substantive,substantive_agent_activity,test_assertion_failure,none,consistent,True,/trials/21970fb6-402a-48f5-a788-b87f7749fa07
ordinary_failure,router-gpt-5.4,b00d0854-337d-4ccd-a17e-84b97cfa0f39,terminal-bench-2.0:schemelike-metacircular-eval,failure,substantive,substantive_agent_activity,test_assertion_failure,none,consistent,True,/trials/b00d0854-337d-4ccd-a17e-84b97cfa0f39
timeout_control,router-gpt-5.4,23455536-4557-4905-a679-bf1db218b8d7,terminal-bench-2.0:llm-inference-batching-scheduler,failure,substantive,timeout_after_meaningful_activity,timeout,timeout,consistent,True,/trials/23455536-4557-4905-a679-bf1db218b8d7
timeout_control,router-gpt-5.4,0b69a314-86ee-47a1-ba2f-4616acad3e2e,terminal-bench-2.0:query-optimize,not_recorded,substantive,timeout_after_meaningful_activity,timeout,timeout,partial,False,/trials/0b69a314-86ee-47a1-ba2f-4616acad3e2e
exception_success_control,router-gpt-5.4,6ae99903-12c4-4680-8fbb-40d0d3feb964,terminal-bench-2.0:schemelike-metacircular-eval,success,substantive,timeout_after_meaningful_activity,none,timeout,partial,True,/trials/6ae99903-12c4-4680-8fbb-40d0d3feb964
incomplete_evidence_control,router-gpt-5.4,0b69a314-86ee-47a1-ba2f-4616acad3e2e,terminal-bench-2.0:query-optimize,not_recorded,substantive,timeout_after_meaningful_activity,timeout,timeout,partial,False,/trials/0b69a314-86ee-47a1-ba2f-4616acad3e2e
ordinary_success,router-gpt-5.5,cf32dce0-eb08-469b-acd6-d2d5d323f09b,terminal-bench-2.0:custom-memory-heap-crash,success,substantive,substantive_agent_activity,none,none,consistent,True,/trials/cf32dce0-eb08-469b-acd6-d2d5d323f09b
ordinary_success,router-gpt-5.5,59167744-7258-483a-a0b8-0e4b383f17ca,terminal-bench-2.0:sqlite-db-truncate,success,substantive,substantive_agent_activity,none,none,consistent,True,/trials/59167744-7258-483a-a0b8-0e4b383f17ca
ordinary_failure,router-gpt-5.5,ce0c5260-529d-4a4c-a36c-4e8f1c91e3f7,terminal-bench-2.0:polyglot-rust-c,failure,substantive,substantive_agent_activity,extraneous_output_artifacts,none,consistent,True,/trials/ce0c5260-529d-4a4c-a36c-4e8f1c91e3f7
ordinary_failure,router-gpt-5.5,422be2f7-2264-4d02-b8fe-c474d5e9b592,terminal-bench-2.0:model-extraction-relu-logits,failure,substantive,substantive_agent_activity,test_assertion_failure,none,consistent,True,/trials/422be2f7-2264-4d02-b8fe-c474d5e9b592
timeout_control,router-gpt-5.5,cd3db94f-4be0-477c-9759-f25b2f502ed8,terminal-bench-2.0:query-optimize,not_recorded,substantive,timeout_after_meaningful_activity,timeout,timeout,partial,False,/trials/cd3db94f-4be0-477c-9759-f25b2f502ed8
timeout_control,router-gpt-5.5,3fc12f3b-4130-47c6-b4e9-28d62bbcd2b7,terminal-bench-2.0:query-optimize,success,substantive,timeout_after_meaningful_activity,none,timeout,nonzero_mismatch,True,/trials/3fc12f3b-4130-47c6-b4e9-28d62bbcd2b7
exception_success_control,router-gpt-5.5,3fc12f3b-4130-47c6-b4e9-28d62bbcd2b7,terminal-bench-2.0:query-optimize,success,substantive,timeout_after_meaningful_activity,none,timeout,nonzero_mismatch,True,/trials/3fc12f3b-4130-47c6-b4e9-28d62bbcd2b7
exception_success_control,router-gpt-5.5,25a31979-0468-4dc5-a08c-84324c4f60f4,terminal-bench-2.0:query-optimize,success,substantive,timeout_after_meaningful_activity,none,timeout,nonzero_mismatch,True,/trials/25a31979-0468-4dc5-a08c-84324c4f60f4
incomplete_evidence_control,router-gpt-5.5,cd3db94f-4be0-477c-9759-f25b2f502ed8,terminal-bench-2.0:query-optimize,not_recorded,substantive,timeout_after_meaningful_activity,timeout,timeout,partial,False,/trials/cd3db94f-4be0-477c-9759-f25b2f502ed8
ordinary_success,router-grok-build-0.1,ea647685-745f-407c-b385-76fd863a0783,terminal-bench-2.0:git-leak-recovery,success,substantive,substantive_agent_activity,none,none,consistent,True,/trials/ea647685-745f-407c-b385-76fd863a0783
ordinary_success,router-grok-build-0.1,fe127450-998b-4f39-8b65-f87f4e837db0,terminal-bench-2.0:openssl-selfsigned-cert,success,substantive,substantive_agent_activity,none,none,consistent,True,/trials/fe127450-998b-4f39-8b65-f87f4e837db0
ordinary_failure,router-grok-build-0.1,b341ff5d-fc62-449a-b452-e994c5600807,terminal-bench-2.0:schemelike-metacircular-eval,failure,substantive,substantive_agent_activity,test_assertion_failure,none,consistent,True,/trials/b341ff5d-fc62-449a-b452-e994c5600807
ordinary_failure,router-grok-build-0.1,6bf9990a-214a-4c86-ad91-ece81a81bd47,terminal-bench-2.0:query-optimize,failure,substantive,substantive_agent_activity,test_assertion_failure,none,consistent,True,/trials/6bf9990a-214a-4c86-ad91-ece81a81bd47
timeout_control,router-grok-build-0.1,c8b0a5fe-7eeb-4c05-8ffb-bb273c4b1d14,terminal-bench-2.0:cancel-async-tasks,failure,substantive,timeout_after_meaningful_activity,timeout,timeout,partial,True,/trials/c8b0a5fe-7eeb-4c05-8ffb-bb273c4b1d14
