phase	arm_id	trial_count	unique_task_count	attempt_counts_present	status	task_list
phase3	router-anthropic-opus	60	20	3	pass	build-cython-ext,cancel-async-tasks,configure-git-webserver,custom-memory-heap-crash,fix-code-vulnerability,git-leak-recovery,llm-inference-batching-scheduler,model-extraction-relu-logits,modernize-scientific-stack,mteb-retrieve,multi-source-data-merger,nginx-request-logging,openssl-selfsigned-cert,password-recovery,polyglot-rust-c,portfolio-optimization,query-optimize,schemelike-metacircular-eval,sqlite-db-truncate,torch-pipeline-parallelism
phase3	router-anthropic-sonnet	60	20	3	pass	build-cython-ext,cancel-async-tasks,configure-git-webserver,custom-memory-heap-crash,fix-code-vulnerability,git-leak-recovery,llm-inference-batching-scheduler,model-extraction-relu-logits,modernize-scientific-stack,mteb-retrieve,multi-source-data-merger,nginx-request-logging,openssl-selfsigned-cert,password-recovery,polyglot-rust-c,portfolio-optimization,query-optimize,schemelike-metacircular-eval,sqlite-db-truncate,torch-pipeline-parallelism
phase3	router-deepseek-flash	60	20	3	pass	build-cython-ext,cancel-async-tasks,configure-git-webserver,custom-memory-heap-crash,fix-code-vulnerability,git-leak-recovery,llm-inference-batching-scheduler,model-extraction-relu-logits,modernize-scientific-stack,mteb-retrieve,multi-source-data-merger,nginx-request-logging,openssl-selfsigned-cert,password-recovery,polyglot-rust-c,portfolio-optimization,query-optimize,schemelike-metacircular-eval,sqlite-db-truncate,torch-pipeline-parallelism
phase3	router-deepseek-pro	60	20	3	pass	build-cython-ext,cancel-async-tasks,configure-git-webserver,custom-memory-heap-crash,fix-code-vulnerability,git-leak-recovery,llm-inference-batching-scheduler,model-extraction-relu-logits,modernize-scientific-stack,mteb-retrieve,multi-source-data-merger,nginx-request-logging,openssl-selfsigned-cert,password-recovery,polyglot-rust-c,portfolio-optimization,query-optimize,schemelike-metacircular-eval,sqlite-db-truncate,torch-pipeline-parallelism
phase3	router-gemini-3.1-pro	60	20	3	pass	build-cython-ext,cancel-async-tasks,configure-git-webserver,custom-memory-heap-crash,fix-code-vulnerability,git-leak-recovery,llm-inference-batching-scheduler,model-extraction-relu-logits,modernize-scientific-stack,mteb-retrieve,multi-source-data-merger,nginx-request-logging,openssl-selfsigned-cert,password-recovery,polyglot-rust-c,portfolio-optimization,query-optimize,schemelike-metacircular-eval,sqlite-db-truncate,torch-pipeline-parallelism
phase3	router-gemini-flash	60	20	3	pass	build-cython-ext,cancel-async-tasks,configure-git-webserver,custom-memory-heap-crash,fix-code-vulnerability,git-leak-recovery,llm-inference-batching-scheduler,model-extraction-relu-logits,modernize-scientific-stack,mteb-retrieve,multi-source-data-merger,nginx-request-logging,openssl-selfsigned-cert,password-recovery,polyglot-rust-c,portfolio-optimization,query-optimize,schemelike-metacircular-eval,sqlite-db-truncate,torch-pipeline-parallelism
phase3	router-glm-5.1	60	20	3	pass	build-cython-ext,cancel-async-tasks,configure-git-webserver,custom-memory-heap-crash,fix-code-vulnerability,git-leak-recovery,llm-inference-batching-scheduler,model-extraction-relu-logits,modernize-scientific-stack,mteb-retrieve,multi-source-data-merger,nginx-request-logging,openssl-selfsigned-cert,password-recovery,polyglot-rust-c,portfolio-optimization,query-optimize,schemelike-metacircular-eval,sqlite-db-truncate,torch-pipeline-parallelism
phase3	router-glm-5.2	60	20	3	pass	build-cython-ext,cancel-async-tasks,configure-git-webserver,custom-memory-heap-crash,fix-code-vulnerability,git-leak-recovery,llm-inference-batching-scheduler,model-extraction-relu-logits,modernize-scientific-stack,mteb-retrieve,multi-source-data-merger,nginx-request-logging,openssl-selfsigned-cert,password-recovery,polyglot-rust-c,portfolio-optimization,query-optimize,schemelike-metacircular-eval,sqlite-db-truncate,torch-pipeline-parallelism
phase3	router-gpt-5.4	60	20	3	pass	build-cython-ext,cancel-async-tasks,configure-git-webserver,custom-memory-heap-crash,fix-code-vulnerability,git-leak-recovery,llm-inference-batching-scheduler,model-extraction-relu-logits,modernize-scientific-stack,mteb-retrieve,multi-source-data-merger,nginx-request-logging,openssl-selfsigned-cert,password-recovery,polyglot-rust-c,portfolio-optimization,query-optimize,schemelike-metacircular-eval,sqlite-db-truncate,torch-pipeline-parallelism
phase3	router-gpt-5.5	60	20	3	pass	build-cython-ext,cancel-async-tasks,configure-git-webserver,custom-memory-heap-crash,fix-code-vulnerability,git-leak-recovery,llm-inference-batching-scheduler,model-extraction-relu-logits,modernize-scientific-stack,mteb-retrieve,multi-source-data-merger,nginx-request-logging,openssl-selfsigned-cert,password-recovery,polyglot-rust-c,portfolio-optimization,query-optimize,schemelike-metacircular-eval,sqlite-db-truncate,torch-pipeline-parallelism
phase3	router-grok-build-0.1	60	20	3	pass	build-cython-ext,cancel-async-tasks,configure-git-webserver,custom-memory-heap-crash,fix-code-vulnerability,git-leak-recovery,llm-inference-batching-scheduler,model-extraction-relu-logits,modernize-scientific-stack,mteb-retrieve,multi-source-data-merger,nginx-request-logging,openssl-selfsigned-cert,password-recovery,polyglot-rust-c,portfolio-optimization,query-optimize,schemelike-metacircular-eval,sqlite-db-truncate,torch-pipeline-parallelism
phase3	router-kimi-k2.6	60	20	3	pass	build-cython-ext,cancel-async-tasks,configure-git-webserver,custom-memory-heap-crash,fix-code-vulnerability,git-leak-recovery,llm-inference-batching-scheduler,model-extraction-relu-logits,modernize-scientific-stack,mteb-retrieve,multi-source-data-merger,nginx-request-logging,openssl-selfsigned-cert,password-recovery,polyglot-rust-c,portfolio-optimization,query-optimize,schemelike-metacircular-eval,sqlite-db-truncate,torch-pipeline-parallelism
phase3	router-qwen-3.7-plus	60	20	3	pass	build-cython-ext,cancel-async-tasks,configure-git-webserver,custom-memory-heap-crash,fix-code-vulnerability,git-leak-recovery,llm-inference-batching-scheduler,model-extraction-relu-logits,modernize-scientific-stack,mteb-retrieve,multi-source-data-merger,nginx-request-logging,openssl-selfsigned-cert,password-recovery,polyglot-rust-c,portfolio-optimization,query-optimize,schemelike-metacircular-eval,sqlite-db-truncate,torch-pipeline-parallelism
