arm_id	primary_category	count	representative_tasks	representative_matched_signals	needs_manual_review_count	confidence_floor
router-gemini-3.1-pro	wrong_file_or_path	2	terminal-bench-2.0:model-extraction-relu-logits	"path = Path(\""/app/stolen_A1.npy\"") assert stolen_path.exists(), f\""F..."	0	high
router-gemini-flash	runtime_exception_in_solution	1	terminal-bench-2.0:torch-pipeline-parallelism	ValueError	0	high
router-gemini-flash	test_assertion_failure	5	terminal-bench-2.0:git-leak-recovery,terminal-bench-2.0:modernize-scientific-stack,terminal-bench-2.0:mteb-retrieve,terminal-bench-2.0:polyglot-rust-c	=================================== FAILURES ========================...	2	medium
router-gemini-flash	wrong_file_or_path	2	terminal-bench-2.0:model-extraction-relu-logits,terminal-bench-2.0:polyglot-rust-c	No such file or directory,FileNotFoundError	0	high
router-glm-5.1	dependency_or_import_error	1	terminal-bench-2.0:build-cython-ext	ModuleNotFoundError	0	high
router-glm-5.1	test_assertion_failure	8	terminal-bench-2.0:cancel-async-tasks,terminal-bench-2.0:configure-git-webserver,terminal-bench-2.0:mteb-retrieve,terminal-bench-2.0:polyglot-rust-c	=================================== FAILURES ========================...	0	high
router-glm-5.2	test_assertion_failure	6	terminal-bench-2.0:cancel-async-tasks,terminal-bench-2.0:configure-git-webserver	=================================== FAILURES ========================...	0	high
router-gpt-5.4	dependency_or_import_error	1	terminal-bench-2.0:portfolio-optimization	ImportError	0	high
router-gpt-5.4	runtime_exception_in_solution	3	terminal-bench-2.0:torch-pipeline-parallelism	ValueError	0	high
router-gpt-5.4	test_assertion_failure	8	terminal-bench-2.0:cancel-async-tasks,terminal-bench-2.0:configure-git-webserver,terminal-bench-2.0:mteb-retrieve,terminal-bench-2.0:polyglot-rust-c,terminal-bench-2.0:schemelike-metacircular-eval	=================================== FAILURES ========================...	0	high
router-gpt-5.4	wrong_file_or_path	3	terminal-bench-2.0:model-extraction-relu-logits	No such file or directory	0	high
router-gpt-5.5	runtime_exception_in_solution	2	terminal-bench-2.0:build-cython-ext,terminal-bench-2.0:torch-pipeline-parallelism	AttributeError,ValueError	0	high
router-gpt-5.5	test_assertion_failure	9	terminal-bench-2.0:cancel-async-tasks,terminal-bench-2.0:configure-git-webserver,terminal-bench-2.0:mteb-retrieve,terminal-bench-2.0:polyglot-rust-c	=================================== FAILURES ========================...	0	high
router-gpt-5.5	wrong_file_or_path	1	terminal-bench-2.0:model-extraction-relu-logits	"path = Path(\""/app/stolen_A1.npy\"") assert stolen_path.exists(), f\""F..."	0	high
router-grok-build-0.1	dependency_or_import_error	1	terminal-bench-2.0:build-cython-ext	ModuleNotFoundError	0	high
router-grok-build-0.1	test_assertion_failure	9	terminal-bench-2.0:mteb-retrieve,terminal-bench-2.0:password-recovery,terminal-bench-2.0:polyglot-rust-c,terminal-bench-2.0:query-optimize,terminal-bench-2.0:schemelike-metacircular-eval	=================================== FAILURES ========================...	0	high
router-grok-build-0.1	wrong_file_or_path	1	terminal-bench-2.0:openssl-selfsigned-cert	"path = \""/app/check_cert.py\"" assert os.path.exists(script_path), \""P..."	0	high
router-kimi-k2.6	dependency_or_import_error	4	terminal-bench-2.0:build-cython-ext,terminal-bench-2.0:openssl-selfsigned-cert,terminal-bench-2.0:portfolio-optimization	ModuleNotFoundError,ImportError	0	high
router-kimi-k2.6	runtime_exception_in_solution	4	terminal-bench-2.0:build-cython-ext,terminal-bench-2.0:modernize-scientific-stack,terminal-bench-2.0:torch-pipeline-parallelism	AttributeError,Traceback (most recent call last),ValueError	0	high
router-kimi-k2.6	test_assertion_failure	6	terminal-bench-2.0:cancel-async-tasks,terminal-bench-2.0:configure-git-webserver,terminal-bench-2.0:mteb-retrieve	=================================== FAILURES ========================...	0	high
router-kimi-k2.6	wrong_file_or_path	2	terminal-bench-2.0:model-extraction-relu-logits	"path = Path(\""/app/stolen_A1.npy\"") assert stolen_path.exists(), f\""F..."	0	high
router-qwen-3.7-plus	runtime_exception_in_solution	1	terminal-bench-2.0:build-cython-ext	AttributeError	0	high
router-qwen-3.7-plus	test_assertion_failure	8	terminal-bench-2.0:cancel-async-tasks,terminal-bench-2.0:configure-git-webserver,terminal-bench-2.0:mteb-retrieve,terminal-bench-2.0:polyglot-rust-c	=================================== FAILURES ========================...	0	high
